camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ5961,6.358257086870486,6.731577054536989,0.96,0.9516129032258064,-0.07139863615564873,0.6661176818599784,0.7503472837801186,unchange
CAMPSQ5962,1.5922929698676631,1.4047611089246834,0.92,0.5,0.10833519213744527,0.26110154920691464,0.3772750841182963,unchange
CAMPSQ5963,0.4690507816283936,0.24168054404693703,0.48,0.12903225806451613,0.2425902184085537,0.00411101302673697,0.01565965840658217,unchange
CAMPSQ5964,0.28333332725098537,0.3033862246321041,0.32,0.16129032258064516,-0.02236871418895231,0.2743648096188109,0.3912860543862183,unchange
CAMPSQ5965,0.24744163776964367,0.3167785773072605,0.28,0.16129032258064516,-0.07804044995808464,0.4439247288023507,0.5668643217792928,unchange
CAMPSQ5966,0.9031079129620232,1.4318325472241695,0.8,0.6290322580645161,-0.3536865202753117,0.0642097165541436,0.13184015052737588,unchange
CAMPSQ5967,0.09354231869946276,0.5060144185203937,0.12,0.20967741935483872,-0.46172653044635087,0.21923323896820385,0.3263799560819558,unchange
CAMPSQ5968,0.39364202297216294,0.1691458765935765,0.36,0.06451612903225806,0.25340508283750074,0.00138112084462176,0.00690929362646405,unchange
CAMPSQ5969,1.4170436759233525,1.3828848021680062,0.8,0.46774193548387094,0.02053433502768276,0.3296870890818582,0.45392293336748024,unchange
CAMPSQ597,0.5460063847505506,0.6914095797622875,0.48,0.2903225806451613,-0.1296797774976572,0.5032951831282821,0.6241984952764169,unchange
CAMPSQ5970,0.603665796633271,0.2377337923005338,0.48,0.1129032258064516,0.3736724581698695,9.81565703986344e-4,0.0054476896571242,unchange
CAMPSQ5971,0.6092860777281809,0.28496691182006034,0.6,0.0967741935483871,0.32468960203896985,1.332528958562264e-5,2.1436335420349465e-4,unchange
CAMPSQ5972,6.82179825162159,8.950956625188079,1,1,-0.3473348993754575,7.483955285897209e-4,0.00439069258316379,unchange
CAMPSQ5973,1.9368194668960463,1.3096167074341871,0.92,0.4838709677419355,0.34660113360617645,0.03294292903973365,0.07783450667114591,unchange
