clade_name,mean.all,mean.1,mean.2,pct.all,pct.1,pct.2,diff,log2fc,pval,p.adj,status
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.7431951724137931,0.034753599999999996,1.0288570967741937,0.5632183908045977,0.4,0.6290322580645161,-0.9941034967741937,-4.887696264200631,6.286269111689557e-4,0.002097859575645236,down
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0.013216091954022988,0.0024752,0.017547096774193548,0.12643678160919541,0.04,0.16129032258064516,-0.015071896774193547,-2.8251148183707966,0.1329432197897235,0.17787740829673962,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.1742855172413793,0.12225280000000001,0.19526645161290324,0.367816091954023,0.68,0.24193548387096775,-0.07301365161290323,-0.6755721829392005,0.007732183466015848,0.01811540126323713,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,6.091954022988506e-6,2.12e-5,0,0.011494252873563218,0.04,0,2.12e-5,4.472487771462744,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0.004075287356321839,0,0.005718548387096773,0.011494252873563218,0,0.016129032258064516,-0.005718548387096773,-12.481685521627666,0.5421264077162994,0.5805607425917086,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.08559827586206897,0.2973196,2.267741935483871e-4,0.3103448275862069,0.88,0.08064516129032258,0.29709282580645163,10.350199407921073,6.666195464165641e-14,3.826396196431078e-12,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.631634367816092,0.0398972,0.8702380645161291,0.7816091954022989,0.48,0.9032258064516129,-0.8303408645161291,-4.447016213952516,1.5559324547572057e-6,1.089152718330044e-5,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_merycicum,0.001361609195402299,0,0.0019106451612903226,0.011494252873563218,0,0.016129032258064516,-0.0019106451612903226,-10.900599040430862,0.5421264077162994,0.5805607425917086,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_moukalabense,2.7586206896551725e-6,9.6e-6,0,0.011494252873563218,0.04,0,9.6e-6,3.405992359675837,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.978892643678161,0.11381160000000001,1.3277156451612904,0.7126436781609196,0.48,0.8064516129032258,-1.2139040451612904,-3.5442150966440713,1.2345595583467049e-5,6.622777443841203e-5,down
